"id","name","city_ids/id"
"l10n_cl_fe.ur_Anc","Ancud","l10n_cl_fe.CL10202,l10n_cl_fe.CL10209"
"l10n_cl_fe.ur_Ang","Angol","l10n_cl_fe.CL09201,l10n_cl_fe.CL09202,l10n_cl_fe.CL09204,l10n_cl_fe.CL09206,l10n_cl_fe.CL09208,l10n_cl_fe.CL09209"
"l10n_cl_fe.ur_Ant","Antofagasta","l10n_cl_fe.CL02101,l10n_cl_fe.CL02102,l10n_cl_fe.CL02103"
"l10n_cl_fe.ur_Ari","Arica y Parinacota","l10n_cl_fe.CL15101,l10n_cl_fe.CL15102,l10n_cl_fe.CL15201,l10n_cl_fe.CL15202"
"l10n_cl_fe.ur_Ays","Aysén","l10n_cl_fe.CL11102,l10n_cl_fe.CL11201,l10n_cl_fe.CL11202,l10n_cl_fe.CL11203"
"l10n_cl_fe.ur_Cal","Calama","l10n_cl_fe.CL02201,l10n_cl_fe.CL02202,l10n_cl_fe.CL02203"
"l10n_cl_fe.ur_Cas","Castro","l10n_cl_fe.CL10201,l10n_cl_fe.CL10203,l10n_cl_fe.CL10204,l10n_cl_fe.CL10205,l10n_cl_fe.CL10206,l10n_cl_fe.CL10207,l10n_cl_fe.CL10208"
"l10n_cl_fe.ur_Cau","Cauquenes","l10n_cl_fe.CL07201,l10n_cl_fe.CL07202,l10n_cl_fe.CL07203"
"l10n_cl_fe.ur_Cha","Chaitén","l10n_cl_fe.CL10401,l10n_cl_fe.CL10402,l10n_cl_fe.CL10404"
"l10n_cl_fe.ur_Chn","Chañaral","l10n_cl_fe.CL03201,l10n_cl_fe.CL03202"
"l10n_cl_fe.ur_ChC","Chile Chico","l10n_cl_fe.CL11401"
"l10n_cl_fe.ur_Chi","Chillán","l10n_cl_fe.CL08401,l10n_cl_fe.CL08402,l10n_cl_fe.CL08403,l10n_cl_fe.CL08404,l10n_cl_fe.CL08405,l10n_cl_fe.CL08406,l10n_cl_fe.CL08407,l10n_cl_fe.CL08408,l10n_cl_fe.CL08410,l10n_cl_fe.CL08411,l10n_cl_fe.CL08412,l10n_cl_fe.CL08413,l10n_cl_fe.CL08414,l10n_cl_fe.CL08415,l10n_cl_fe.CL08418,l10n_cl_fe.CL08420,l10n_cl_fe.CL08421"
"l10n_cl_fe.ur_Coc","Cochrane","l10n_cl_fe.CL11301,l10n_cl_fe.CL11302,l10n_cl_fe.CL11303"
"l10n_cl_fe.ur_Cop","Concepción ","l10n_cl_fe.CL08101,l10n_cl_fe.CL08102,l10n_cl_fe.CL08103,l10n_cl_fe.CL08104,l10n_cl_fe.CL08105,l10n_cl_fe.CL08106,l10n_cl_fe.CL08107,l10n_cl_fe.CL08108,l10n_cl_fe.CL08109,l10n_cl_fe.CL08111,l10n_cl_fe.CL08202"
"l10n_cl_fe.ur_Cos","Constitución","l10n_cl_fe.CL07102,l10n_cl_fe.CL07104"
"l10n_cl_fe.ur_Coo","Copiapo","l10n_cl_fe.CL03101,l10n_cl_fe.CL03102,l10n_cl_fe.CL03103"
"l10n_cl_fe.ur_Coq","Coquimbo","l10n_cl_fe.CL04102"
"l10n_cl_fe.ur_Coy","Coyhaique","l10n_cl_fe.CL11101,l10n_cl_fe.CL11302,l10n_cl_fe.CL11303,l10n_cl_fe.CL11402"
"l10n_cl_fe.ur_Cur","Curicó","l10n_cl_fe.CL07301,l10n_cl_fe.CL07302,l10n_cl_fe.CL07303,l10n_cl_fe.CL07304,l10n_cl_fe.CL07305,l10n_cl_fe.CL07306,l10n_cl_fe.CL07307,l10n_cl_fe.CL07308,l10n_cl_fe.CL07309"
"l10n_cl_fe.ur_Gra","Grandes Contribuyentes",""
"l10n_cl_fe.ur_Ill","Illapel","l10n_cl_fe.CL04201,l10n_cl_fe.CL04202,l10n_cl_fe.CL04203,l10n_cl_fe.CL04204"
"l10n_cl_fe.ur_Iqu","Iquique","l10n_cl_fe.CL01101,l10n_cl_fe.CL01107,l10n_cl_fe.CL01401,l10n_cl_fe.CL01402,l10n_cl_fe.CL01403,l10n_cl_fe.CL01404,l10n_cl_fe.CL01405"
"l10n_cl_fe.ur_LaL","La Ligua","l10n_cl_fe.CL05401,l10n_cl_fe.CL05402,l10n_cl_fe.CL05403,l10n_cl_fe.CL05404,l10n_cl_fe.CL05405"
"l10n_cl_fe.ur_LaS","La Serena","l10n_cl_fe.CL04101,l10n_cl_fe.CL04103,l10n_cl_fe.CL04104,l10n_cl_fe.CL04105,l10n_cl_fe.CL04106"
"l10n_cl_fe.ur_LaU","La Unión","l10n_cl_fe.CL14201,l10n_cl_fe.CL14203,l10n_cl_fe.CL14204"
"l10n_cl_fe.ur_Lan","Lanco","l10n_cl_fe.CL14103"
"l10n_cl_fe.ur_Leb","Lebu","l10n_cl_fe.CL08201,l10n_cl_fe.CL08203,l10n_cl_fe.CL08204,l10n_cl_fe.CL08205,l10n_cl_fe.CL08206,l10n_cl_fe.CL08207"
"l10n_cl_fe.ur_Lin","Linares","l10n_cl_fe.CL07401,l10n_cl_fe.CL07402,l10n_cl_fe.CL07403,l10n_cl_fe.CL07407,l10n_cl_fe.CL07408"
"l10n_cl_fe.ur_Lod","Los Andes","l10n_cl_fe.CL05301,l10n_cl_fe.CL05302,l10n_cl_fe.CL05303,l10n_cl_fe.CL05304"
"l10n_cl_fe.ur_Log","Los Ángeles","l10n_cl_fe.CL08301,l10n_cl_fe.CL08302,l10n_cl_fe.CL08303,l10n_cl_fe.CL08304,l10n_cl_fe.CL08305,l10n_cl_fe.CL08306,l10n_cl_fe.CL08307,l10n_cl_fe.CL08308,l10n_cl_fe.CL08309,l10n_cl_fe.CL08310,l10n_cl_fe.CL08311,l10n_cl_fe.CL08312,l10n_cl_fe.CL08313,l10n_cl_fe.CL08314"
"l10n_cl_fe.ur_Oso","Osorno","l10n_cl_fe.CL10301,l10n_cl_fe.CL10302,l10n_cl_fe.CL10303,l10n_cl_fe.CL10304,l10n_cl_fe.CL10305,l10n_cl_fe.CL10306,l10n_cl_fe.CL10307"
"l10n_cl_fe.ur_Ova","Ovalle","l10n_cl_fe.CL04301,l10n_cl_fe.CL04302,l10n_cl_fe.CL04303,l10n_cl_fe.CL04304,l10n_cl_fe.CL04305"
"l10n_cl_fe.ur_Pan","Panguipulli","l10n_cl_fe.CL14108"
"l10n_cl_fe.ur_Par","Parral","l10n_cl_fe.CL07404,l10n_cl_fe.CL07405"
"l10n_cl_fe.ur_Pic","Pichilemu","l10n_cl_fe.CL06201,l10n_cl_fe.CL06202,l10n_cl_fe.CL06203,l10n_cl_fe.CL06204,l10n_cl_fe.CL06206"
"l10n_cl_fe.ur_Por","Porvenir","l10n_cl_fe.CL12301,l10n_cl_fe.CL12302,l10n_cl_fe.CL12303"
"l10n_cl_fe.ur_PuM","Puerto Montt","l10n_cl_fe.CL10101,l10n_cl_fe.CL10102,l10n_cl_fe.CL10106,l10n_cl_fe.CL10108,l10n_cl_fe.CL10403"
"l10n_cl_fe.ur_PuN","Puerto Natales","l10n_cl_fe.CL12401,l10n_cl_fe.CL12402"
"l10n_cl_fe.ur_PuV","Puerto Varas","l10n_cl_fe.CL10103,l10n_cl_fe.CL10104,l10n_cl_fe.CL10105,l10n_cl_fe.CL10107,l10n_cl_fe.CL10109"
"l10n_cl_fe.ur_PuA","Punta Arenas","l10n_cl_fe.CL12101,l10n_cl_fe.CL12102,l10n_cl_fe.CL12103,l10n_cl_fe.CL12104,l10n_cl_fe.CL12201"
"l10n_cl_fe.ur_Qui","Quillota","l10n_cl_fe.CL05501,l10n_cl_fe.CL05502,l10n_cl_fe.CL05503,l10n_cl_fe.CL05504,l10n_cl_fe.CL05505,l10n_cl_fe.CL05506,l10n_cl_fe.CL05507"
"l10n_cl_fe.ur_Ran","Rancagua","l10n_cl_fe.CL06101,l10n_cl_fe.CL06102,l10n_cl_fe.CL06103,l10n_cl_fe.CL06104,l10n_cl_fe.CL06105,l10n_cl_fe.CL06106,l10n_cl_fe.CL06108,l10n_cl_fe.CL06109,l10n_cl_fe.CL06110,l10n_cl_fe.CL06111,l10n_cl_fe.CL06114,l10n_cl_fe.CL06115,l10n_cl_fe.CL06116"
"l10n_cl_fe.ur_SaA","San Antonio","l10n_cl_fe.CL05601,l10n_cl_fe.CL05602,l10n_cl_fe.CL05603,l10n_cl_fe.CL05604,l10n_cl_fe.CL05605,l10n_cl_fe.CL05606"
"l10n_cl_fe.ur_Sar","San Carlos","l10n_cl_fe.CL08416,l10n_cl_fe.CL08417,l10n_cl_fe.CL08419,l10n_cl_fe.CL12104"
